width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,quality
137,67,68.27084,55.328835,62.81269,97.24654,79.448845,77.50235,87.50854,95.02892,3.175113,2.168256,103.02406,57.76687,79.80294,135.06876,104.53071,177.01532,110.24876,146.14343,131.40343,156.75171,3.1653116,2.6496012,134.0452,58.850887,164.85327,53.52311,29.95460787850287,22.173515,0.2872216319846139,87.73043220100989,37.262054,19.76035827712738,30.830947875976562,-5.458153,16.636154,11.532097,0.6
123,99,35.356403,106.713745,35.770897,146.76357,71.47502,115.83546,86.46184,131.45544,8.108637,7.3298073,116.11398,128.368,72.61204,153.3371,124.164246,190.59142,127.12777,160.16628,158.81479,176.9029,159.61438,120.24259,4.6737266,4.2479954,3.0498405,3.6895237,18.17013324776056,9.121712,0.7209225232094114,55.614276049124776,3.0874481,1.2913397311133394,35.48896789550781,0.41449356,35.704124,37.255634,0.6
132,87,34.019638,67.34102,42.202316,108.48351,66.97211,76.92044,79.89456,107.90857,16.84532,14.7656,115.64722,86.848526,67.65595,126.39789,126.16493,171.96072,117.4936,119.53418,154.69,150.9045,126.37476,64.51626,13.120747,9.183908,15.697202,8.653686,6.518590973096707,9.579422,0.022100601755909555,52.07519849630127,21.060043,10.400810051917233,36.352783203125,8.182678,24.76979,33.636314,0.6
122,50,31.602753,81.71462,52.510292,122.23952,57.06048,92.19512,77.21141,94.686584,4.0588226,3.2776701,95.52272,86.11938,69.46292,133.21838,94.822395,198.52682,99.56631,176.26224,124.81371,198.98164,128.11134,63.7983,123.039665,73.700096,164.64644,85.40367,14.31338638933164,10.480499,0.35589770771912876,88.831756389425,8.567207,16.822970146148563,35.284645080566406,20.90754,4.550186,37.86017,0.6
240,144,57.689777,50.415443,65.52501,68.34068,88.87708,42.931927,107.24683,64.91864,4.76202,3.666469,108.31952,63.69368,68.06506,112.728134,92.33052,180.27332,101.88612,149.64905,132.22804,174.29561,126.37425,56.456852,132.69397,67.59016,160.32741,69.05212,5.872339518841017,7.4835167,0.11943430377372466,82.44073642923259,1.2249603,7.855267101338214,21.66699981689453,7.835232,23.352074,10.375286,0.6
132,93,43.28297,57.307888,42.20521,107.16457,62.81517,96.279785,80.4666,111.4078,95.00814,75.44104,98.414856,96.0035,59.530052,143.3767,99.43153,162.94904,101.53842,127.34709,122.794,164.2023,2.2363808,2.0988777,120.468735,68.840805,155.9588,60.930305,24.07303242732327,38.971897,0.8751812707991138,89.47325850920122,15.404297,9.748929631749306,30.37073516845703,-1.0777588,20.609959,16.247082,0.6
117,58,87.13544,48.125214,2.715981,1.8419002,2.4588013,2.0201762,100.563156,85.84275,1.4439541,0.95543826,105.871765,81.790276,79.69113,155.05498,107.7567,205.95894,115.41925,162.39209,138.76729,206.28387,1.9318471,1.5529698,137.15314,90.48053,152.25832,80.48945,0.27545872139020844,46.105038,0.25281617236412446,89.92887082577698,4.052475,18.466142976325564,-23.230794548988342,-84.41946,-0.25717974,-7.4443054,0.6
178,110,59.919006,32.669003,69.20241,60.130054,92.060425,41.652557,105.67392,67.6404,109.992325,22.08723,109.84974,62.670467,64.31264,100.05873,108.512955,136.12654,112.06654,82.20202,143.25383,146.21112,156.55106,13.559074,150.12733,42.691,177.9075,37.371223,16.564935366698165,8.983555,0.13755917790293815,87.24384173676067,4.9699364,11.602445018499225,22.96927261352539,9.2834015,22.858017,4.393631,0.6
102,42,108.579765,39.6813,109.5979,90.482445,121.5001,79.67928,122.84881,112.74814,3.5785422,2.1031644,133.7717,84.204506,117.18981,143.4406,130.47316,196.47064,136.75632,144.55472,157.78876,182.94963,2.3688867,1.8664057,162.41583,71.61231,187.02525,69.683815,36.15801274286507,39.997982,0.27001948543762966,89.30315732686431,28.543633,37.29902443500785,30.802154541015625,1.0181351,11.902199,8.610046,0.6
129,57,64.02549,61.131447,85.55879,79.13126,107.21942,39.73194,3.7136314,2.6237175,139.02693,10.32224,135.6131,96.42888,115.15739,133.51015,138.12134,173.76804,137.0305,123.13202,173.96147,162.38336,4.024397,1.4651326,174.71037,13.971016,8.275665,1.6584141,50.79240334664989,21.399506,0.5616063946566343,87.85333512432406,-93.80516,8.415527474949982,28.699569702148438,21.533302,21.66063,51.131897,0.6
